key,en,jp
TEXTBOOK_COMBINE,"To combine noodles with a topping, you have to place the cooked noodles on a SIDETABLE and then interact with the SIDETABLE while carrying a topping to add.",麺とトッピングを組み合わせるには、まず茹でた麺をサイドテーブルに置き、トッピングを持ちながらサイドテーブルを操作する必要があります。
,,
BUILD_MODE_INFO,"PRESS [Q] TO EXIT BUILDMODE
LEFT CLICK TO PLACE
RIGHT CLICK TO REMOVE","[Q]を押してビルドモードを終了
左クリックで配置
右クリックで削除"
ARCADE_INFO,PRESS [X] TO EXIT ARCADE,[X]を押してアーケードを終了
SHIBARCADE,SHIBARCADE,芝アーケード
,,
EXPENSES,Expenses,経費
EXPENSES_DESCRIPTION,This indicates your expenses,これはあなたの支出を示しています
,,
YOUR_RESTAURANT,YOUR RESTAURANT,あなたのレストラン
YOUR_RESTAURANT_DESCRIPTION,Manage your restaurant here,ここでレストランを管理する
,,
SHOP,SHOP,ショップ
SHOP_DESCRIPTION,Buy items here,ここで商品を購入する
SHOP_BACKPACK,Backpack,リュックサック
SHOP_BACKPACK_DESCRIPTION,Store items inside,商品を中に保管してください
SHOP_SPEED_BOOTS,Speed boost,スピードブースト
SHOP_SPEED_BOOTS_DESCRIPTION,Become way faster,はるかに速くなる
BOUGHT,BOUGHT,購入済み
BUY_FOR,Buy for 10c,10セントで購入
,,
NAME,Name,名前
BASE_PRICE,Base price,基本価格
,,
BUILD_RESTAURANT,Restaurant,レストラン
BUILD_TILES,Tiles,タイル
BUILD_MACHINES,Machines,機械
BUILD_OTHER,Other,その他
BUILDING_TOOL,BUILDING TOOL,ビルディングツール
BUILDING_DESCRIPTION,Make your restaurant unique,あなたのレストランをユニークにしましょう
,,
,,
,,
BANK_TITLE,BANK OF SHIBA,シバ銀行
BANK_DESCRIPTION,Are you broke? Get a loan!,お金がない？ ローンを組もう！
LOAN_REQUEST,Loan request,融資の申し込み
LOAN_DURATION,Loan duration,融資期間
LOAN_REQUEST_TEXT,Request loan (5% interest),融資の申し込み（金利5％）
,,
,,
RESTAURANT_INFO_TEXT,"NPC ENTRY &
SUPERMARKET","NPC エントリー＆
スーパーマーケット"
GO_TO_SUPERMARKET,Go to supermarket,スーパーマーケットへ行く
